Dictionnaire de la base de données;;;;;;;
;;;;;;;
Méthode de reconstruction ;;;;;;;
Hypothèses basées sur;;;;;;;
(1) L'analyse directe des valeurs,;;;;;;;
(2) Le vocabulaire standard de la sérologie vaccinale,;;;;;;;
"(3) Le contexte de l'étude (adolescents scolarisés, suivi à 28j/3mois/7mois)""";;;;;;;
(4) Recherche de logique par croisement de variables;;;;;;;
;;;;;;;
;;;;;;;
Nom initial;Nom proposé (FR);Nom proposé (EN);Type;Signification (FR);Signification (EN);Certitude;Problème identifié
D;ID_sujet;Subject_ID;Catégorique (Nominale);"Identifiant unique du sujet avec préfixe ""US-""";"Unique subject identifier with ""US-"" prefix";Probable;"Signification de ""US-"" non confirmée"
Gender;Sexe;Sex;Catégorique (Nominale);Sexe du sujet;Subject's sex;Certain;Aucun
BirthComor;Comorbidite_naissance;Birth_comorbidity;Catégorique (Nominale);Présence de comorbidité à la naissance (Yes/No/NA);Presence of birth comorbidity (Yes/No/NA);Probable;"Nature exacte non précisée ; ""NA"" stocké comme texte"
BMI measure;Valeur_IMC;BMI_value;Numérique (Décimal);Valeur numérique de l'IMC;Numeric BMI value;Certain;Aucun
BMI;Classe_IMC;BMI_class;Catégorique (Ordinale);Catégorie de poids;Weight category;Certain;Aucun
Vacstat;Statut_vaccinal;Vaccination_status;Catégorique (Nominale);Statut vaccinal;Vaccination status;Certain;Aucun
Date 1;Date_dose1;Dose1_date;Date;Date de la 1ère dose de vaccin;Date of 1st vaccine dose;Probable;"Manquants codés ""#N/A"" en texte"
Date 2;Date_dose2;Dose2_date;Date;Date de la 2ème dose (~3-4 sem. après);Date of 2nd dose (~3-4 weeks later);Probable;Idem
Age;Age;Age;Numérique (Entier);Âge en années;Age in years;Certain;"Format ""Standard"""
Class;Classe_scolaire;School_grade;Catégorique (Nominale);Niveau scolaire;School grade level;Probable;Seulement 2 modalités (S1, S4)
Infected prior to vaccination;Infection_anterieure;Prior_infection;Catégorique (Nominale);Statut sérologique avant vaccination;Serological status prior to vaccination;Probable;"""R"" déduit, non documenté"
Quantivac at 28 days;Titre_AC_28j_statut;Antibody_titer_28d_status;Catégorique (Nominale);Statut de la mesure (Normal/Censure_haute/Non_teste/Echec_technique);Measurement status;Reconstruit;Créé lors du nettoyage
(idem);Titre_AC_28j;Antibody_titer_28d;Numérique (Continu);Valeur brute d'origine;Original raw value;Probable;"Valeurs ""*****""/"">120"" mêlées aux nombres"
(idem);Titre_AC_28j_valeurs;Antibody_titer_28d_value;Numérique (Continu);Titre quantitatif d'anticorps à 28 jours (valeur numérique pure);Quantitative antibody titer at 28 days (clean numeric);Probable;Aucun (nettoyé)
Q 28 Result;Resultat_qual_28j;Qual_result_28d;Catégorique (Nominale);Résultat qualitatif dérivé;Derived qualitative result;Probable, confirmé par croisement;"""?""/""*"" clarifiés (Incertain/Non_teste)"
