N°;Date;Etapes;Variable(s);Action réalisée;Justification;Livrables;Observations
1;31-juil;Chargement et inspection de la base;Toutes les variables;Inspection visuelle de la base de données, Prise de connaissances des différentes variables et leurs modalités;;;
2;31-juil;Sommaire de la base de données;Toutes les variables;Inspection générale de la base (Nombre de lignes et de colonnes, variables, cellules vides, valeurs manquantes);;;
3;31-juil;Documentation;Toutes les variables;Construction d'un dictionnaire de données à partir de recherche sur internet et des clarifications avec l'IA;Absence de documentation officielle;;
4;15-août;Nettoyage : Renommage des colonnes;Toutes les variables;Renommage des colonnes suivant le dictionnaire révisé ;;Base de données nettoyée;
5;15-août;Nettoyage : Valeurs manquantes;Comorbidite_naissance, Date_Dose1, Date_Dose2;"Remplacement de 107 cellules ""NA"" (texte) par cellules vides ";" 100% des manquants codés en texte ""NA"", Aucune vraie cellule vide dans la colonne d'origine";NA → (vide);"Note : les ""#N/A"" dans Date_dose1/Date_dose2 ne sont pas du texte mais de vraies valeurs d'erreur Excel (probablement issues d'une formule =NA() ou RECHERCHEV dans le fichier source) — Rechercher/Remplacer en mode texte ne les détecte pas ; utilisation de F5 > Cellules > Erreurs à la place. "
6;16-août;Nettoyage : Valeurs dupliquées;CapaciteNeutralisation_(28j, 3mois, 7mois) et Titre_AC_7mois;"Séparation des cellules à double mesure (""xy"") en 2 colonnes distinctes (_mesure1, _mesure2) via Convertir Texte en colonnes)";"Absence de documentation sur la nature de la 2e valeur ; choix de conserver l'information brute sans perte plutôt que de calculer une moyenne arbitraire";;"Anomalie détectée : l'outil ""Texte en colonnes"" a mal interprété le séparateur décimal (confusion point virgule, paramètres régionaux français) lors de la séparation des cellules ""xy"" — valeurs comme ""1.6594"" transformées en ""16594"". Corrigé en spécifiant manuellement les séparateurs via le bouton ""Avancé"" de l'assistant. Lacolonne Titre_AC_7mois n'a pas posé de problèeme de séparateur"
7;16-août;Nettoyage : Censure/codes spéciaux;Titre_AC_28j, Titre_AC_3mois, Titre_AC_7mois_mesure1, Titre_AC_7mois_mesure2;"Séparation de chaque colonne en 2 : ""_valeur"" (numérique pur) et ""_statut"" (Normal/Censure_haute/Echec_technique/Manquant), via SIERREUR(CNUM(...)) et test GAUCHE()/ESTVIDE(). Nous avons "">120"" → valeur vide + statut ""Censure_haute"" ; ""*****"" → valeur vide + statut ""Echec_technique"" ; cellule vraiment vide → valeur vide + statut en cellule vide";"Colonnes d'origine mélangeaient valeurs numériques réelles et codes texte ("">120"", ""*****"") ; conserver l'info qualitative plutôt que de la supprimer ou d'inventer une valeur";;"Ajout d'un test ESTVIDE() en priorité dans les formules, car les vraies cellules vides étaient mal interprétées (donnaient 0 en valeur et ""Normal"" en statut par défaut). CNUM() renvoie 0 sur une cellule vide au lieu d'une erreur ; nécessaire pour distinguer ""vraiment manquant"" de ""censure""/""échec technique"" ; Cellule vide : ""0.00000""/""Normal"" → """" / cellule vide "
8;16-août;"Nettoyage : Recodage catégoriel des codes spéciaux ""*"" et ""?""";Resultat_qual_28j/3mois/7mois vs Titre_AC correspondant;"Vérification de la cohérence entre résultat qualitatif et valeur quantitative associée ; Recodage de ""*"" en ""Non testé"" et "","" en ""Incertain""";"Validation croisée et Logique confirmée aux 3 temps : ""*""↔""*****"" (test non réalisé), ""N""↔numérique, ""R""↔(numérique ou "">120""), ""?""↔numérique | 2 cas anomalies détectés (""R"" associé à ""*****"") sur 294×3 ≈ 880 paires observées";;"Piège rencontré : ""*"" et ""?"" sont interprétés comme caractères joker par Rechercher/Remplacer dans Excel — nécessité d'échapper avec ""~*"" et ""~?"" pour cibler les symboles littéraux."
9;16-août;Correction label;Titre_AC_28j/_3mois/_7mois_mesure1/_mesure2 (statut);"Remplacement global ""Echec_technique"" → ""Non_teste"" (337 cellules), puis exception manuelle sur US-111 (Titre_AC_3mois) remise en ""Echec_technique""";"Validation croisée montrant que la quasi-totalité des cas étaient systématiques (test non réalisé) et non des pannes ; US-111 isolé et contredit le pattern";;
10;16-août;Correction saisie;CapaciteNeutralisation_28j_mesure2;"Correction de ""2817"" en ""0.2817"" (point décimal manquant, valeur aberrante comparée à mesure1=0.2817 et à la plage habituelle de la variable) ; ""2817"" → ""0.2817""";;;Détecté lors du scan final de vérification des caractères spéciaux résiduels
